"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"Green Diamond Resource Company","06/26/2023, 06/27/2023","04/19/2024"
"Kisco Senior Living, LLC","06/01/2023","04/18/2024"
"SysInformation Healthcare Services, LLC d/b/a EqualizeRCM and 1st Credentialing","06/03/2023, 06/18/2023","04/17/2024"
"Hub International Limited","12/12/2022, 01/17/2023","04/17/2024"
"DES Architects and Engineers","09/07/2023, 10/21/2023","04/16/2024"
"The Roman Catholic Diocese of Phoenix","01/17/2024","04/15/2024"
"Visionary Integration Professionals","09/21/2023","04/15/2024"
"SinglePoint Outsourcing, Inc.","11/08/2023","04/12/2024"
"Houser LLP","05/07/2023, 05/09/2023","04/12/2024"
"Kaiser Foundation Health Plan, Inc.","","04/12/2024"
"City of El Cerrito, California ","06/01/2023, 06/07/2023","04/12/2024"
"Keenan & Associates (“Keenan”)","08/21/2023, 08/27/2023","04/11/2024"
"Hapy Bear Surgery Center","08/18/2023, 12/27/2023","04/11/2024"
"AT&T Inc.","","04/09/2024"
"EBlock Corp. (“EBlock”)","08/12/2023, 08/14/2023, 08/13/2023","04/08/2024"
"CCM Health","04/03/2023, 04/10/2023","04/05/2024"
"Santa Rosa City Schools","08/30/2023, 08/31/2023","04/05/2024"
"California Statewide Automated Welfare System","03/01/2023","04/05/2024"
"Greylock McKinnon Associates, Inc.","05/30/2023","04/05/2024"
"GreenWaste Recovery, LLC d/b/a GreenWaste ","11/22/2023, 11/27/2023","04/05/2024"
"Pacific Guardian Life Insurance Company, Limited","08/25/2023","04/04/2024"
"Tri-City Healthcare District","11/09/2023","04/04/2024"
"Dental Health Services","01/25/2024","04/04/2024"
"On Q Financial ","02/21/2024","04/02/2024"
"City of Hope","07/07/2023, 10/15/2023","04/02/2024"
"Law Offices of Bobby P. Luna","03/18/2024","04/02/2024"
"HALO Branded Solutions","","04/01/2024"
"Ace Hardware Corporation","10/27/2023, 10/28/2023, 10/29/2023","04/01/2024"
"SouthState Bank, N.A.","02/07/2024","03/29/2024"
"Sacramento Rehabilitation Hospital","01/16/2024, 02/04/2024","03/29/2024"
"Rehabilitation Hospital of Southern Califonia","01/16/2024, 02/04/2024","03/29/2024"
"Bakersfield Rehabilitation Hospital","01/16/2024, 02/04/2024","03/29/2024"
"Ridge Vineyards","11/15/2023","03/29/2024"
"The Spanish Speaking Unity Council of Alameda County","07/26/2023","03/29/2024"
"Catholic Charities CYO of The Archdiocese of San Francisco ","09/13/2023","03/29/2024"
"Prudential Insurance Company of America","02/04/2024","03/29/2024"
"University System of Georgia","05/28/2023","03/28/2024"
"Risas Dental & Braces","06/30/2023, 07/13/2023","03/28/2024"
"Metropolitan Life Insurance Company","11/01/2023","03/28/2024"
"Summit State Bank","10/25/2023","03/28/2024"
"Hot Topic, Inc.","11/18/2023, 11/19/2023, 11/25/2023","03/28/2024"
"Harvard Pilgrim Health Care","03/28/2023, 04/17/2023","03/27/2024"
"Houser LLP","05/07/2023, 05/09/2023","03/26/2024"
"SinglePoint Outsourcing, Inc.","11/08/2023","03/26/2024"
"Orsini Pharmaceutical Services","01/08/2024, 01/10/2024","03/26/2024"
"INTEGRIS Health","11/27/2023","03/26/2024"
"Orange County’s Credit Union (""OCCU"")","02/02/2024","03/26/2024"
"The Law Firm of Friedman + Bartoumian ","10/26/2022","03/25/2024"
"Delta Pipeline, Inc.","02/26/2024","03/25/2024"
"Nationstar Mortgage (dba Mr. Cooper)","10/30/2023","03/22/2024"
"California Department of Food and Agriculture","03/07/2024","03/22/2024"
"I.A.T.S.E. Staff Retirement and National Pension Funds","05/29/2023, 05/30/2023","03/22/2024"
"GardaWorld Cash U.S.","10/30/2023, 11/16/2023","03/22/2024"
"Health Plan Intermediaries Holdings","03/10/2023","03/22/2024"
"LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH","01/22/2024","03/22/2024"
"Lewis and Clark College","03/03/2023","03/22/2024"
"Santa Clarita Community College District","08/21/2023, 08/27/2023","03/22/2024"
"Pomona Valley Hospital Medical Center","","03/22/2024"
"M&D Capital Premier Billing LLC","06/10/2023","03/21/2024"
"Simpson Strong-Tie Co. Inc.","10/09/2023, 10/10/2023, 10/11/2023","03/21/2024"
"Select Education Group (including Institute of Technology, National Holistic Institute, Bauman College, Fremont University, and Arch USA) (collectively, ""SEG” or the “Company”) ","","03/21/2024"
"Massachusetts Mutual Life Insurance Company","10/29/2023","03/21/2024"
"Monmouth College","12/06/2022, 12/14/2022","03/20/2024"
"Woodruff-Sawyer & Co.","01/20/2024","03/20/2024"
"BioLife Plasma Services, L.P.","01/31/2024, 02/06/2024","03/19/2024"
"Fiduciary Outsourcing, LLC","05/31/2023","03/19/2024"
"U.S.Vision, Inc., ","04/20/2021","03/19/2024"
"Eastside Union School District","05/23/2023, 06/06/2023","03/18/2024"
"Jordano’s Inc.","02/25/2024","03/18/2024"
"Fidelity Investments Life Insurance Company & Empire Fidelity Investments Life Insurance Company","10/29/2023","03/18/2024"
"Gresser Inc. and Affiliates ","07/07/2023, 07/10/2023","03/18/2024"
"Johnson Matthey, Inc.","02/15/2024","03/18/2024"
"Eland Energy, Inc. and affiliates","01/19/2024","03/15/2024"
"Nations Direct Mortgage, LLC","","03/14/2024"
"Delta Dental of California and affiliates","05/27/2023, 05/30/2023","03/14/2024"
"Precision Tune Auto Care, Inc. (“PTAC”)","01/07/2024","03/13/2024"
"Teleflora","11/10/2023","03/13/2024"
"California Correctional Health Care Services","02/26/2024","03/13/2024"
"CCM Health","04/03/2023, 04/10/2023","03/12/2024"
"Gerson Lehrman Group, Inc.","11/12/2023","03/12/2024"
"Rancho Family Medical Group, Inc.","11/19/2023","03/11/2024"
"Prestige Care, Inc.","09/07/2023","03/11/2024"
"Stanford University","05/12/2023","03/11/2024"
"Roku, Inc.","12/28/2023, 02/21/2024","03/08/2024"
"UC San Diego Health Hillcrest - Hillcrest Medical Center","01/09/2024, 01/22/2024","03/08/2024"
"CDC Dental Management, Co., LLC dba Kids Care Dental & Orthodontics","06/15/2023","03/06/2024"
"Classic Residence Management Limited Partnership d/b/a Vi Senior Living (“Vi”)","03/10/2023, 03/13/2023","03/06/2024"
"NALS Apartment Homes LLC","12/02/2023","03/05/2024"
"Assurance IQ, LLC","","03/04/2024"
"Illuminate Education, Inc. (on behalf of Victor Valley Union High School District)","12/28/2021, 01/08/2022","03/04/2024"
"Illuminate Education, Inc. (on behalf of Tracy Unified School District)","12/28/2021, 01/08/2022","03/04/2024"
"Illuminate Education, Inc. (on behalf of Tehachapi Unified School District)","12/28/2021, 01/08/2022","03/04/2024"
"Illuminate Education, Inc. (on behalf of Santa Monica-Malibu Unified School District)","12/28/2021, 01/08/2022","03/04/2024"
"Western National Group ","06/19/2023","03/01/2024"
"TTM Technologies","09/26/2023","03/01/2024"
"Elemetal, LLC","08/22/2023, 09/01/2023","03/01/2024"
"Alliance Solutions Group, LLC","05/30/2023, 05/31/2022","03/01/2024"
"RCI, LLC (“RCI”)","05/31/2023, 06/01/2023","03/01/2024"
"INTEGRIS Health","11/27/2023","03/01/2024"
"Yakima Valley Radiology PC","08/11/2023, 08/17/2023","03/01/2024"
"Fidelity Investments Life Insurance Company & Empire Fidelity Investments Life Insurance Company","10/29/2023, 11/02/2023","03/01/2024"
"Procopio, Cory, Hargreaves & Savitch LLP ","11/04/2023","02/29/2024"
"Medical Management Resource Group, L.L.C., d.b.a. American Vision Partners","11/14/2023","02/29/2024"
"Baesman Group, Inc. ","05/29/2023, 06/21/2023","02/29/2024"
"The Northwestern Mutual Life Insurance Company","10/29/2023","02/29/2024"
"Welltok, Inc. - filing behalf of one entity; please see exhibit 1.","05/30/2023","02/28/2024"
"Houser LLP","05/07/2023, 05/09/2023","02/28/2024"
"Institute of Food Technologists","04/25/2023, 04/26/2023","02/28/2024"
"Department of State Hospitals (DSH)","02/15/2024","02/28/2024"
"Rio Hondo Community College District","10/12/2023, 10/19/2023","02/27/2024"
"Concord Music Group, Inc.","11/14/2022, 11/18/2022","02/27/2024"
"NewGen Administrative Services, LLC ","09/14/2023","02/23/2024"
"medQ, Inc.","12/20/2023, 12/26/2023","02/23/2024"
"UNITE HERE ","10/20/2023","02/23/2024"
"loanDepot.com, LLC","01/03/2024, 01/05/2024","02/23/2024"
"Crossroads Equipment Lease & Finance, LLC","04/01/2023","02/23/2024"
"Insomniac Games","","02/22/2024"
"Air Methods","11/09/2023","02/22/2024"
"U-Haul International, Inc.","07/20/2023, 10/02/2023","02/22/2024"
"SAFE Credit Union","","02/22/2024"
"EdisonLearning, Inc.","03/07/2023","02/21/2024"
"Davlyn Investments","11/30/2023","02/21/2024"
"Colorado Department of Health Care Policy & Financing","05/28/2023, 05/31/2023","02/19/2024"
"Golden Corral Corporation ","","02/16/2024"
"CUSO Financial Services, LP","07/05/2022","02/16/2024"
"The Northwestern Mutual Life Insurance Company","10/29/2023","02/16/2024"
"​​Harvard Pilgrim Health Care​","03/28/2023, 04/17/2023","02/15/2024"
"Virginia Farm Bureau","10/06/2022, 10/16/2022","02/15/2024"
"Superior Communications, Inc.","07/09/2023","02/15/2024"
"CGM, Inc.","12/15/2022, 12/28/2022","02/14/2024"
"CareTree, Inc. on behalf of affected customers. ","07/21/2023","02/14/2024"
"Anthem Insurance Companies, Inc. on behalf of itself and its licensed affiliates","05/29/2023","02/12/2024"
"Planet Home Lending, LLC","11/15/2023","02/09/2024"
"Trinity Universal Insurance Company","07/07/2023, 07/10/2023","02/09/2024"
"Musick, Peeler & Garrett LLP","06/16/2022, 06/17/2022","02/09/2024"
"Navvis & Company, LLC","07/12/2023, 07/25/2023","02/09/2024"
"Perry Johnson & Associates, Inc. (PJ&A)","04/07/2023, 04/19/2023","02/08/2024"
"SinglePoint Outsourcing, Inc.","11/08/2023","02/08/2024"
"Connecticut College","03/03/2023","02/08/2024"
"Multi-Fineline Electronix, Inc. (“MFLEX”)","12/01/2022, 01/02/2023","02/08/2024"
"HealthEC filing on behalf of U.S. Renal Care, Inc.","07/14/2023, 07/23/2023","02/07/2024"
"Lineage, Inc","05/27/2023","02/07/2024"
"The Burton Corporation","02/11/2023","02/06/2024"
"INTEGRIS Health","11/27/2023","02/06/2024"
"Perry Johnson & Associates, Inc. (PJ&A)","04/07/2023, 04/19/2023","02/05/2024"
"Verizon Communications Inc.","09/21/2023","02/05/2024"
"Sage Home Loans Corporation f/k/a Lenox Financial Mortgage Corporation d/b/a Weslend Financial (“Lenox”)","12/05/2023, 12/22/2023","02/02/2024"
"HopSkipDrive, Inc.","05/31/2023, 06/10/2023","02/02/2024"
"Infosys McCamish Systems LLC","10/29/2023","02/02/2024"
"National Advisors Holdings, Inc.","04/17/2023","02/02/2024"
"Emmanuel College","04/27/2023","02/02/2024"
"TRISTAR Insurance Group","11/12/2022","02/01/2024"
"Concord Music Group, Inc.","11/14/2022, 11/18/2022","02/01/2024"
"Prestige Care, Inc.","09/07/2023","01/31/2024"
"J.D. Gilmour","06/29/2023","01/31/2024"
"GEICO Corporation","05/27/2023","01/31/2024"
"Illuminate Education, Inc. (on behalf of Azusa Unified School District)","12/28/2021, 01/08/2022","01/31/2024"
"Illuminate Education, Inc. (on behalf of Orange Unified School District)","12/28/2021, 01/08/2022","01/31/2024"
"Medical Eye Services, Inc.","05/28/2023, 05/31/2023","01/30/2024"
"Bankers Life and Casualty Company","11/28/2023","01/29/2024"
"Washington National Insurance Company","11/28/2023","01/29/2024"
"Keenan & Associates (“Keenan”)","08/21/2023, 08/27/2023","01/26/2024"
"Cadence Bank","05/28/2023, 05/31/2023","01/26/2024"
"ElGuindy, Meyer & Koegel, APC","05/15/2023","01/26/2024"
"Fullerton Joint Union High School District","11/14/2023","01/25/2024"
"Bake ‘N Joy Foods, Inc. ","11/24/2021, 12/14/2022","01/24/2024"
"Ventura County Credit Union","10/20/2022, 12/15/2022","01/24/2024"
"Columbus Life Insurance Company","10/17/2023","01/22/2024"
"23andMe, Inc.","04/29/2023, 09/27/2023","01/21/2024"
"Ashford, Inc.","09/07/2023","01/19/2024"
"Rachas, Inc. D/B/A Chuze Fitness","11/25/2023","01/19/2024"
"First Financial Security, Inc.","10/17/2023","01/19/2024"
"Oak View Group","11/26/2024","01/17/2024"
"McCarthy & Holthus, LLP","10/01/2023, 10/08/2023","01/16/2024"
"Hanmi Bank","05/27/2023, 05/31/2023","01/16/2024"
"Academy Mortgage Corporation","03/21/2023","01/15/2024"
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport","08/19/2023","01/12/2024"
"Rebekah Children’s Services ","09/05/2023","01/12/2024"
"Hair Club for Men, Ltd., Inc. (“Hair Club”)","10/18/2023","01/12/2024"
"Nautic Partners, LLC","02/23/2023","01/12/2024"
"Carnegie Mellon University","08/24/2023","01/12/2024"
"Blink Mobility","10/20/2023","01/11/2024"
"PLUS FIVE FIVE","01/07/2024","01/11/2024"
"NASCO","05/30/2023","01/10/2024"
"American Meat Companies","07/19/2023","01/10/2024"
"Glendale Unified School District","11/06/2023, 12/06/2023","01/10/2024"
"Navvis & Company, LLC","07/12/2023, 07/25/2023","01/09/2024"
"Welltok, Inc. - Filing on behalf of multiple entities; please see Exhibit 1.","05/30/2023","01/08/2024"
"Sharp Health Plan","12/19/2023","01/08/2024"
"Sharp Health Plan","05/27/2023, 05/28/2023, 05/29/2023, 01/30/2024","01/08/2024"
"Musick, Peeler & Garrett LLP","06/16/2022, 06/17/2022","01/05/2024"
"Academy Mortgage Corporation","03/21/2023","01/05/2024"
"Buckley King LPA","04/06/2023","01/05/2024"
"Cooper Aerobics Enterprises, Inc.","02/03/2023","01/05/2024"
"WICR Waterproofing and Construction Inc.","01/03/2024","01/04/2024"
"Wabtec Corporation","03/15/2022","01/04/2024"
"Welltok, Inc. - Filing on behalf of a Covered Entity","05/30/2023","01/04/2024"
"Housing Authority of the County of San Bernardino","05/19/2023, 06/26/2023","01/03/2024"
"Mellow Massage Hollywood","01/25/2022","01/03/2024"
"Knox Ricksen LLP","10/12/2023","01/02/2024"
"Estes Express Lines","09/26/2023","12/31/2023"
"Toyota Financial Services","09/10/2021","12/29/2023"
"Transformative Healthcare","02/17/2023, 04/22/2023","12/29/2023"
"Amwins Group, Inc.","05/31/2023","12/29/2023"
"Bunker Hill Community College","05/22/2023, 05/23/2023","12/29/2023"
"Navvis & Company, LLC","07/12/2023","12/29/2023"
"Orrick, Herrington & Sutcliffe LLP","02/28/2023, 03/13/2023","12/28/2023"
"Maxco Supply, Inc.","","12/28/2023"
"Merrick Bank","05/31/2023","12/28/2023"
"Brown & Streza LLP","09/05/2023","12/22/2023"
"Panasonic Avionics Corporation","12/14/2022","12/22/2023"
"Welltok, Inc. - Filing on behalf of multiple entities; please see Exhibit 1.","05/30/2023","12/22/2023"
"LoanCare, LLC","11/19/2023, 11/26/2023","12/22/2023"
"Fred Hutchinson Cancer Center","11/19/2023, 11/25/2023","12/22/2023"
"National Amusements, Inc. ","12/13/2022, 12/15/2022","12/22/2023"
"Los Angeles County Department of Mental Health","10/17/2023","12/21/2023"
"Enstar (US) Inc","05/29/2023, 05/31/2023","12/21/2023"
"The Middlefield Banking Company","04/11/2023","12/21/2023"
"Fresno Regional Workforce Development Board","02/18/2022","12/21/2023"
"California Northstate University","02/12/2023, 02/13/2023","12/21/2023"
"Classic Residence Management Limited Partnership d/b/a Vi Living (""Vi"")","03/10/2023, 03/13/2023","12/21/2023"
"Fresno Surgical Hospital","11/04/2023","12/21/2023"
"Illuminate Education, Inc. (on behalf of Orcutt Union School District)","12/28/2021, 01/08/2022","12/21/2023"
"Illuminate Education, Inc. (on behalf of Riverside Unified School District)","12/28/2021, 01/08/2022","12/21/2023"
"Recology Inc.","11/02/2023","12/20/2023"
"Merced City School District","11/24/2022, 11/30/2022","12/20/2023"
"ESO Solutions, Inc. ","09/17/2023, 09/28/2023","12/20/2023"
"Glendale Community College","07/11/2023, 11/10/2023","12/19/2023"
"Kimco Staffing Services Inc.","06/24/2023","12/19/2023"
"TTM Technologies","09/26/2023","12/19/2023"
"ESO Solutions, Inc. ","09/17/2023","12/19/2023"
"Los Altos Food Products, LLC","01/21/2023","12/19/2023"
"Health Net Community Solutions","05/31/2023","12/18/2023"
"Comcast Cable Communications LLC","10/16/2023, 10/19/2023","12/18/2023"
"ZOLL Medical Corporation ","08/02/2023","12/18/2023"
"Kirkland & Ellis LLP on behalf of the Riverside County Office Of Education","05/31/2023","12/15/2023"
"Welltok, Inc. - Filing on behalf of multiple entities; please see Exhibit 1.","05/30/2023","12/15/2023"
"Nationstar Mortgage LLC (dba Mr. Cooper)","10/30/2023","12/15/2023"
"Flagstar Bank, N.A.","05/27/2023, 05/28/2023, 05/29/2023, 05/30/2023, 05/31/2023","12/15/2023"
"AMCP Payments Intermediate Company LLC d/b/a Talus Pay","03/28/2023, 05/16/2023","12/14/2023"
"Delta Dental of California and affiliates","05/27/2023, 05/30/2023","12/14/2023"
"The Jacmar Companies, LLC","06/02/2023","12/13/2023"
"UnTax dba TaxPlus","08/24/2023, 08/25/2023, 08/26/2023","12/13/2023"
"Humana Inc","07/31/2023","12/13/2023"
"National Student Clearinghouse ","05/30/2023","12/12/2023"
"Florida Water Products","05/22/2023, 05/28/2023","12/11/2023"
"CareTree, Inc. on behalf of affected customers","07/21/2023","12/11/2023"
"Idaho National Laboratory operated by Battelle Energy Alliance, LLC","11/19/2023","12/11/2023"
"TRISTAR Insurance Group","11/12/2022","12/11/2023"
"Pandol Brothers, Inc.","03/20/2023","12/11/2023"
"Keenan & Associates","08/21/2023, 08/27/2023","12/11/2023"
"CRC Insurance Services, LLC ","01/13/2023","12/08/2023"
"Americold Logistics LLC","04/26/2023","12/08/2023"
"Norton Healthcare, Inc.","05/07/2023","12/08/2023"
"CVC Holding Corp","11/01/2023","12/08/2023"
"Financial Risk Mitigation, Inc.","09/28/2023, 09/29/2023","12/07/2023"
"DePauw University","10/31/2023","12/06/2023"
"Henry Schein, Inc.","","12/06/2023"
"MGM Resorts International","09/08/2023, 09/12/2023","12/05/2023"
"Welltok, Inc. - Filing on behalf of multiple entities; please see Exhibit 1.","05/30/2023","12/05/2023"
"Advantis Global, Inc. ","08/18/2022, 10/21/2022","12/05/2023"
"Gunster, Yoakley & Steward, PA","07/20/2022, 11/27/2022","12/04/2023"
"Pan-American Life Insurance Group, Inc.","05/28/2023","12/04/2023"
"Taylor University","02/26/2023, 05/18/2023","12/04/2023"
"Stanley Steemer International, Inc.","02/10/2023, 03/06/2023","12/04/2023"
"4 Over LLC","11/16/2022","12/04/2023"
"Troutman Pepper Hamilton Sanders LLP","02/07/2023, 02/08/2023","12/04/2023"
"Valrhona Inc.","09/02/2021","11/30/2023"
"Koeller Nebeker Calrson & Haluk LLP","02/07/2023","11/30/2023"
"Livermore Amador Valley Transit Authority","04/29/2023","11/30/2023"
"1st Source Bank","05/27/2023","11/28/2023"
"Zeroed-In Technologies, LLC","08/07/2023, 08/08/2023","11/27/2023"
"State of Maine","05/28/2023, 05/29/2023","11/27/2023"
"Nonstop Administration and Insurance Services, Inc. (“Nonstop”) on behalf of LifeLong Medical Care","12/22/2022","11/27/2023"
"Alps Alpine North America, Inc.","09/10/2023","11/27/2023"
"Welltok, Inc.","05/30/2023","11/22/2023"
"Tri Counties Bank","02/07/2023, 02/08/2023","11/22/2023"
"Midwest Gaming & Entertainment, LLC, d/b/a Rivers Casino Des Plaines ","08/08/2023","11/22/2023"
"Big Brothers Big Sisters of America","03/28/2023","11/22/2023"
"Cadence Bank","05/28/2023, 05/31/2023","11/22/2023"
"Brodart Co.","10/14/2023","11/22/2023"
"Sierra County","02/21/2023","11/21/2023"
"NSC Technologies","06/19/2023, 06/20/2023","11/21/2023"
